,Nombre,Barrio,Tipo_terraza
0,SR,ROSAS               ,Acera
1,JURUCHA,RECOLETOS           ,Acera
2,HONTANARES,GUINDALERA          ,Acera
3,BAR MARISQUERIA LUIS,GUINDALERA          ,Calle peatonal
4,SAGAR,GUINDALERA          ,Calle peatonal
5,WAGABOO,RECOLETOS           ,Acera
6,THE JAMES JOYCE IRISH PUB,RECOLETOS           ,Acera
7,HOTEL ABBA MADRID,GUINDALERA          ,Acera
8,LA PLAZA,CASCO H.VALLECAS    ,Plaza peatonal
9,EL NUEVO RINC?N DE JA?N,GUINDALERA          ,Acera
10,VIENA CAPELLANES,GOYA                ,Acera
11,BAR LAS TORRES,SAN CRISTOBAL       ,Acera
12, KEBAB ARMENIA,LOS ROSALES         ,Acera
13,CAFETERIA PARISIENA,FUENTE DEL BERRO    ,Acera
14,BAR-RESTAURANTE,RECOLETOS           ,Acera
15,EL RINCON DEL TIO PEPE,CASCO H.VALLECAS    ,Acera
16,BAR  SAN JULIAN,CASCO H.VALLECAS    ,Acera
17,BAR JOSUE,SIMANCAS            ,Acera
18,RESTAURANTE BAR TORRES,REJAS               ,Acera
19,BONGO CAFE,SAN ANDRES          ,Acera
20,EL ARBOL Y LA TOSTA,RECOLETOS           ,Acera
21,BURGER KING,TIMON               ,Acera
22,RESTAURANTE 40 & CUATRO,ENSANCHE DE VALLECAS,Acera
23,BAR-RESTAURANTE,CASCO H.VALLECAS    ,Calle peatonal
24,CERVECERIA MINERVA,BUTARQUE            ,Acera
25,BAR DONDE SIEMPRE,LOS ROSALES         ,Plaza peatonal
26,LA PARADA ESQUINA,LOS ROSALES         ,Acera
27,BURGUER CAROVI,SAN ANDRES          ,Acera
28,A GAIVOTI?A II,LOS ANGELES         ,Acera
29,PE?A DE FRANCIA,LOS ANGELES         ,Acera
30,LUCKY,SAN ANDRES          ,Acera
31,EL KUBO,LOS ANGELES         ,Plaza peatonal
32,BAR ASTURIAS,SAN ANDRES          ,Plaza peatonal
33,LA ABUELA,LOS ROSALES         ,Acera
34,BAR PEMA,LOS ANGELES         ,Acera
35,CASA MONICA,LOS ANGELES         ,Acera
36,EL JARDIN DEL BACO,SANTA EUGENIA       ,Acera
37,CERVECERIA LA TOMASA,SANTA EUGENIA       ,Acera
38,BAR  LA HACIENDA,SANTA EUGENIA       ,Acera
39,CERVECERIA LA TORRE,SANTA EUGENIA       ,Acera
40,EL JARDIN DE BACO II,SANTA EUGENIA       ,Acera
41,"ESTUDIO VILLAVERDE ALTO, SL",SAN ANDRES          ,Calle peatonal
42,LAS BEGONIAS,SAN ANDRES          ,Acera
43,BAR CASA CONEL,LOS ANGELES         ,Acera
44,PASTELERIA PANADERIA CAFETERIA CHICO,BUTARQUE            ,Acera
45,BAR LAS NI?AS,SAN ANDRES          ,Acera
